text,sentiment,Content_Parsed
" I`d have responded, if I were going",neutral, ` respond go
 Sooo SAD I will miss you here in San Diego!!!,negative, sooo sad miss san diego
my boss is bullying me...,negative, boss bully 
 what interview! leave me alone,negative, interview leave alone
" Sons of ****, why couldn`t they put them on the releases we already bought",negative, sons **** ` put release already buy
http://www.dothebouncy.com/smf - some shameless plugging for the best Rangers forum on earth,neutral,http//wwwdothebouncycom/smf - shameless plug best rangers forum earth
2am feedings for the baby are fun when he is all smiles and coos,positive,2am feed baby fun smile coo
Soooo high,neutral,soooo high
 Both of you,neutral, 
 Journey!? Wow... u just became cooler.  hehe... (is that possible!?),positive, journey wow u become cooler hehe ( possible)
" as much as i love to be hopeful, i reckon the chances are minimal =P i`m never gonna get my cake and stuff",neutral, much love hopeful reckon chance minimal =p ` never gonna get cake stuff
I really really like the song Love Story by Taylor Swift,positive, really really like song love story taylor swift
My Sharpie is running DANGERously low on ink,negative, sharpie run dangerously low ink
i want to go to music tonight but i lost my voice.,negative, want go music tonight lose voice
test test from the LG enV2,neutral,test test lg env2
"Uh oh, I am sunburned",negative,uh oh sunburn
" S`ok, trying to plot alternatives as we speak *sigh*",negative, `ok try plot alternatives speak *sigh*
"i`ve been sick for the past few days  and thus, my hair looks wierd.  if i didnt have a hat on it would look... http://tinyurl.com/mnf4kw",negative,` sick past days thus hair look wierd didnt hat would look http//tinyurlcom/mnf4kw
is back home now      gonna miss every one,negative, back home gonna miss every one
Hes just not that into you,neutral,hes 
" oh Marly, I`m so sorry!!  I hope you find her soon!! <3 <3",neutral, oh marly ` sorry hope find soon <3 <3
Playing Ghost Online is really interesting. The new updates are Kirin pet and Metamorph for third job.  Can`t wait to have a dragon pet,positive,play ghost online really interest new update kirin pet metamorph third job ` wait dragon pet
is cleaning the house for her family who is comming later today..,neutral, clean house family comming later today
gotta restart my computer .. I thought Win7 was supposed to put an end to the constant rebootiness,neutral,gotta restart computer think win7 suppose put end constant rebootiness
SEe waT I Mean bOuT FoLL0w fRiiDaYs... It`S cALLed LoSe f0LloWeRs FridAy... smH,neutral,see wat mean bout foll0w friidays ` call lose f0llowers friday smh
"the free fillin` app on my ipod is fun, im addicted",positive, free fillin` app ipod fun im addict
  I`m sorry.,negative, ` sorry
On the way to Malaysia...no internet access to Twit,negative, way malaysiano internet access twit
juss came backk from Berkeleyy ; omg its madd fun out there  havent been out there in a minute . whassqoodd ?,positive,juss come backk berkeleyy omg madd fun havent minute whassqoodd 
Went to sleep and there is a power cut in Noida  Power back up not working too,negative,go sleep power cut noida power back work 
I`m going home now. Have you seen my new twitter design? Quite....heavenly isn`****?,positive,` go home see new twitter design quiteheavenly `****
i hope unni will make the audition . fighting dahye unni !,positive, hope unni make audition fight dahye unni 
 If it is any consolation I got my BMI tested hahaha it says I am obesed  well so much for being unhappy for about 10 minutes.,negative, consolation get bmi test hahaha say obesed well much unhappy 10 minutes
 That`s very funny.  Cute kids.,positive, ` funny cute kid
" Ahhh, I slept through the game.  I`m gonna try my best to watch tomorrow though. I hope we play Army.",neutral, ahhh sleep game ` gonna try best watch tomorrow though hope play army
"Thats it, its the end. Tears for Fears vs Eric Prydz, DJ Hero   http://bit.ly/2Hpbg4",neutral,thats end tear fear vs eric prydz dj hero http//bitly/2hpbg4
Born and raised in NYC and living in Texas for the past 10 years!  I still miss NY,negative,bear raise nyc live texas past 10 years still miss ny
"just in case you wonder, we are really busy today and this coming with with adding tons of new blogs and updates stay tuned",neutral, case wonder really busy today come add tons new blog update stay tune
i`m soooooo sleeeeepy!!! the last day o` school was today....sniffle....,negative,` soooooo sleeeeepy last day ` school todaysniffle
"A little happy for the wine jeje ok it`sm my free time so who cares, jaja i love this day",positive, little happy wine jeje ok `sm free time care jaja love day
" Car not happy, big big dent in boot! Hoping theyre not going to write it off, crossing fingers and waiting",neutral, car happy big big dent boot hop theyre go write cross finger wait
im an avid fan of **** magazine and i love your magazines,positive,im avid fan **** magazine love magazines
MAYDAY?!,neutral,mayday
"RATT ROCKED NASHVILLE TONITE..ONE THING SUCKED, NO ENCORE!  LIKE IN THE 80`S THEY STILL HAVE A FUN SHOW. PEARCY HAS THAT HOTT BAD BOY LOOK",neutral,ratt rock nashville toniteone thing suck encore like 80` still fun show pearcy hott bad boy look
 I love to! But I`m only available from 5pm.  and where dear? Would love to help  convert her vids.ï¿½,positive, love ` available 5pm dear would love help convert vidsï¿½
The girl in the hair salon asked me 'Shall I trim your eyebrows!' How old do I feel?,neutral, girl hair salon ask 'shall trim eyebrows' old feel
egh blah and boooooooooooo i dunno wanna go to work  HANGOVERS SUCKKKKKK Im a drunk mess!,negative,egh blah boooooooooooo dunno wanna go work hangovers suckkkkkk im drink mess
:visiting my friendster and facebook,neutral,visit friendster facebook
"i donbt like to peel prawns, i also dont like going shopping, running out of money and crawling round the car looking for more",negative, donbt like peel prawn also dont like go shop run money crawl round car look 
 which case? I got a new one last week and I`m not thrilled at all with mine.,negative, case get new one last week ` thrill mine
 Then you should check out http://twittersucks.com and connect with other tweeple who hate twitter,neutral, check http//twittersuckscom connect tweeple hate twitter
" also bored at school, its my third freelesson( freistunde )",neutral, also bore school third freelesson( freistunde )
 hm... Both of us I guess...,neutral, hm us guess
 it is ****...u have dissappointed me that past few days,negative, ****u dissappointed past days
 romance zero is funny,positive, romance zero funny
